"site","subsite","spp","ind","leaf_type","height","leaf_size","lma","stem_density_25","stem_density_100","segment","length","xsa","mass_stem_main","mass_stem_side","mass_stem_total","mass_leaf_main","mass_leaf_side","mass_leaf_total","area_leaf_main","area_leaf_side","area_leaf_total","number_leaf_main","number_leaf_total","main_leaf_mass_per_length","main_stem_mass_per_length","main_all_mass_per_length","total_leaf_mass_per_length","total_stem_mass_per_length","total_all_mass_per_length","main_leaf_area_per_length","total_area_per_length","leaf_no_per_length","main_LMF","total_LMF","main_LAR","total_LAR"
"daintree","k-tree","alppet",2,"simple",6.8,6498,0.0001552,0.41752,"4.2667E-01","a",135,"1.6493E+01",0.701,0,0.701,6.2245,0,6.2245,40095,0,40095,6.17,6.17,0.046107,0.0051926,0.0513,0.046107,0.0051926,0.0513,297,297,0.045704,0.89878,0.89878,5789.4,5789.4
"daintree","k-tree","alppet",2,"simple",6.8,6498,0.0001552,0.41752,"4.2667E-01","e",1000,"1.6742E+02",33.426,30.299,63.725,13.135,86.69,99.825,84610,558410,643020,13.02,98.951,0.013135,0.033426,0.046561,0.099825,0.063725,0.16355,84.61,643.02,0.01302,0.28211,0.61037,1817.2,3931.6
"daintree","k-tree","alppet",3,"simple",8.72,8503,0.0001533,0.35627,"4.0928E-01","0",0,"9.0792E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","k-tree","alppet",3,"simple",8.72,8503,0.0001533,0.35627,"4.0928E-01","a",130,"1.7624E+01",0.722,0.1031,0.8251,7.0972,0.5935,7.6907,46302,3872,50174,5.4451,5.9005,0.054594,0.0055538,0.060148,0.059159,0.0063469,0.065506,356.17,385.95,0.041886,0.90766,0.90311,5921.6,5891.9
"daintree","k-tree","alppet",3,"simple",8.72,8503,0.0001533,0.35627,"4.0928E-01","e",1000,"1.4805E+02",29.934,17.128,47.063,18.947,65.359,84.306,123610,426400,550010,14.537,64.681,0.018947,0.029934,0.048882,0.084306,0.047063,0.13137,123.61,550.01,0.014537,0.38761,0.64175,2528.8,4186.8
"daintree",NA,"alssch",1,"simple",NA,6252,0.0001107,0.26081,"3.1573E-01","0",0,"5.0847E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree",NA,"alssch",1,"simple",NA,6252,0.0001107,0.26081,"3.1573E-01","a",190,"3.6285E+01",1.445,0,1.445,4.6336,0,4.6336,41851,0,41851,6.694,6.694,0.024387,0.0076053,0.031993,0.024387,0.0076053,0.031993,220.27,220.27,0.035232,0.76228,0.76228,6885,6885
"daintree",NA,"alssch",1,"simple",NA,6252,0.0001107,0.26081,"3.1573E-01","e",1000,"2.4593E+02",43.213,35.61,78.823,8.7464,78.461,87.207,78998,708670,787660,12.636,125.99,0.0087464,0.043213,0.05196,0.087207,0.078823,0.16603,78.998,787.66,0.012636,0.16833,0.52525,1520.4,4744.1
"daintree",NA,"alssch",2,"simple",NA,6591,0.0001089,0.26303,"3.6091E-01","0",0,"3.1667E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree",NA,"alssch",2,"simple",NA,6591,0.0001089,0.26303,"3.6091E-01","a",125,"2.7709E+01",0.8029,0,0.8029,6.5627,0,6.5627,60277,0,60277,9.1458,9.1458,0.052502,0.0064232,0.058925,0.052502,0.0064232,0.058925,482.21,482.21,0.073166,0.89099,0.89099,8183.5,8183.5
