spp,indiv,segment,length,displacement_mass_stem,dry_mass_stem,density_stem,dry_mass_bark,displacement_mass_wood,dry_mass_wood,density_wood,notes
carsub,3,1000mm,33.30,10.658,5.8046,0.5435,1.2321,8.274,4.5725,0.5515,
carsub,x,base,15.60,,,,,0.289,0.1658,0.5726,
carsub,x,base,20.20,,,,,0.382,0.2008,0.5253,
carsub,x,base,20.00,,,,,0.335,0.2038,0.6071,
carsub,x,base,,,,,,0.278,0.1718,0.6167,
casaus,1,250mm,40.00,5.556,2.6290,0.4722,1.0060,3.334,1.6230,0.4858,
casaus,1,1000mm,38.90,17.790,10.1934,0.5718,2.7724,12.450,7.4210,0.5949,
casaus,2,250mm,32.70,4.357,2.4599,0.5635,0.8582,2.686,1.6017,0.5951,
casaus,2,1000mm,53.10,18.360,11.1000,0.6034,3.0374,12.496,8.0626,0.6439,
casaus,3,250mm,28.60,4.139,1.6210,0.3909,0.6195,2.545,1.0015,0.3927,
casaus,3,1000mm,49.20,16.170,8.3553,0.5157,2.3233,11.510,6.0320,0.5230,
casaus,x,base,13.10,,,,,0.428,0.1731,0.4041,
casaus,x,base,16.50,,,,,0.323,0.1970,0.6096,
casaus,x,base,17.60,,,,,0.343,0.2065,0.6017,
casaus,x,base,9.50,,,,,0.174,0.1077,0.6177,
clemyr,1,1000mm,51.80,5.174,2.7720,0.5347,0.6072,3.695,2.1648,0.5847,
clemyr,2,250mm,44.20,0.449,0.2008,0.4468,0.0659,0.248,0.1349,0.5424,
clemyr,2,1000mm,52.00,4.885,2.5955,0.5303,0.4246,3.668,2.1709,0.5907,
clemyr,3,250mm,37.30,0.631,0.3117,0.4930,0.1230,0.350,0.1887,0.5381,
clemyr,3,1000mm,49.70,8.210,4.3837,0.5329,1.0219,5.703,3.3618,0.5883,
clemyr,x,base,18.80,,,,,0.342,0.2302,0.6718,
clemyr,x,base,17.50,,,,,0.325,0.2307,0.7084,
clemyr,x,base,18.60,,,,,0.359,0.2318,0.6439,
clemyr,x,base,16.30,,,,,0.309,0.2052,0.6638,
crylae,1,250mm,36.10,0.565,0.2244,0.3964,0.0749,0.371,0.1495,0.4022,
crylae,1,1000mm,45.50,5.770,3.4990,0.6052,0.4037,4.820,3.0953,0.6409,
crylae,2,250mm,38.50,0.558,0.2489,0.4452,0.0686,0.338,0.1803,0.5332,
crylae,2,1000mm,53.40,8.185,4.8854,0.5957,0.5954,6.491,4.2900,0.6596,
crylae,3,250mm,31.50,0.650,0.2758,0.4235,0.0748,0.411,0.2010,0.4881,
crylae,3,1000mm,37.40,3.264,1.8278,0.5589,0.2593,2.526,1.5685,0.6197,
crylae,3,base,,,,,,15.710,11.2006,0.7115,
crylae,x,base,12.60,,,,,0.229,0.1741,0.7587,
crylae,x,base,14.50,,,,,0.275,0.1955,0.7095,
crylae,x,base,,,,,,0.249,0.1810,0.7255,
crymac,1,250mm,38.50,1.484,0.6370,0.4284,0.3219,0.808,0.3151,0.3892,
crymac,1,1000mm,27.50,5.642,3.7056,0.6555,0.7616,3.970,2.9440,0.7401,
crymac,2,250mm,32.20,1.747,0.7721,0.4411,0.2771,1.163,0.4950,0.4248,
crymac,2,1000mm,35.20,8.485,5.0317,0.5918,1.0159,6.430,4.0158,0.6233,
crymac,3,250mm,31.90,0.796,0.4222,0.5293,0.1983,0.394,0.2239,0.5671,
crymac,3,1000mm,58.20,20.378,12.0242,0.5889,2.4361,15.930,9.5881,0.6007,
crymac,x,base,15.60,,,,,0.299,0.2268,0.7560,
crymac,x,base,17.70,,,,,0.345,0.2472,0.7151,
crymac,x,base,17.50,,,,,0.337,0.2548,0.7550,
crymac,x,base,13.40,,,,,0.248,0.1856,0.7481,
crymur,1,250mm,42.40,2.751,1.0569,0.3834,0.3763,1.523,0.6806,0.4460,
crymur,1,1000mm,44.30,16.088,8.4770,0.5259,1.3950,12.030,7.0820,0.5875,
crymur,2,250mm,53.30,1.313,0.5533,0.4206,0.2504,0.773,0.3029,0.3911,
crymur,2,1000mm,60.70,9.043,5.9336,0.6548,1.2622,6.420,4.6714,0.7262,
crymur,3,250mm,34.50,1.896,1.0049,0.5290,0.3660,1.096,0.6389,0.5818,
crymur,3,1000mm,33.00,8.715,5.5925,0.6404,1.2448,6.124,4.3477,0.7085,
crymur,x,base,17.40,,,,,0.398,0.2082,0.5225,
crymur,x,base,18.20,,,,,0.407,0.2354,0.5772,
crymur,x,base,15.70,,,,,0.348,0.2011,0.5775,
crymur,x,base,20.90,,,,,0.473,0.2667,0.5633,
denmor,1,250mm,32.80,4.600,0.7441,0.1614,0.2133,2.648,0.5308,0.2001,
denmor,1,1000mm,34.80,14.240,2.7392,0.1920,0.4754,10.522,2.2638,0.2147,
denmor,2,base,12.40,,,,,,0.0792,#DIV/0!,
denmor,2,250mm,37.80,4.440,0.7243,0.1628,0.2139,2.690,0.5104,0.1894,
denmor,2,1000mm,50.60,10.435,2.4094,0.2304,0.5102,7.125,1.8992,0.2660,
denmor,3,250mm,33.30,3.718,0.5388,0.1446,0.1651,2.044,0.3737,0.1825,
denmor,3,1000mm,30.20,5.240,0.9688,0.1845,0.2164,3.585,0.7524,0.2095,
denmor,3,base,,,,,,7.608,1.8553,0.2434,
denmor,x,base,28.4000,,,,,,0.0634,#DIV/0!,
denmor,x,base,35.4000,,,,,0.470,0.1071,0.2277,
denmor,x,base,26.0000,,,,,,0.0693,#DIV/0!,
denmor,x,base,,,,,,0.183,0.0285,0.1559,
denmor,x,base,10.10,,,,,,0.0399,#DIV/0!,
elaang,1,250mm,41.70,1.894,0.8965,0.4724,0.2959,1.155,0.6006,0.5190,
elaang,1,1000mm,37.60,6.812,3.2841,0.4811,0.7442,5.102,2.5399,0.4968,
elaang,2,250mm,27.90,2.008,1.0286,0.5112,0.3091,1.327,0.7195,0.5411,
elaang,2,1000mm,37.00,,6.3632,#DIV/0!,1.5357,9.260,4.8275,0.5203,
elaang,3,250mm,28.60,0.944,0.4434,0.4688,0.1335,0.609,0.3099,0.5078,
elaang,3,1000mm,35.20,4.990,2.3702,0.4740,0.5754,3.733,1.7948,0.4798,
elaang,x,base,16.50,,,,,0.310,0.1443,0.4646,
elaang,x,base,23.00,,,,,0.431,0.2119,0.4912,
elaang,x,base,24.00,,,,,0.434,0.2061,0.4739,
elaang,x,base,18.50,,,,,0.326,0.1789,0.5477,
elaang,x,base,20.70,,,,,0.397,0.1841,0.4633,
elaang,x,base,13.90,,,,,0.270,0.1376,0.5090,
endlep,1,250mm,32.70,0.641,0.3075,0.4788,0.1223,0.358,0.1852,0.5163,
endlep,1,1000mm,23.10,3.830,2.0478,0.5336,0.3751,3.027,1.6727,0.5515,
endlep,2,250mm,47.60,1.759,0.9137,0.5184,0.2424,1.157,0.6713,0.5790,
endlep,2,1000mm,48.30,4.910,2.9597,0.6016,0.4790,3.830,2.4807,0.6464,
endlep,3,250mm,42.20,0.832,0.4449,0.5337,0.1618,0.446,0.2831,0.6335,
endlep,3,1000mm,46.10,12.685,7.6138,0.5990,1.5371,9.540,6.0767,0.6357,
endlep,x,base,18.10,,,,,0.349,0.2493,0.7137,
endlep,x,base,19.80,,,,,0.381,0.2810,0.7364,
endlep,x,base,18.00,,,,,0.344,0.2702,0.7839,
endlep,x,base,15.50,,,,,0.297,0.2134,0.7171,
endmic,1,250mm,35.80,1.460,0.6427,0.4393,0.2494,0.914,0.3933,0.4294,
endmic,1,1000mm,40.00,7.250,3.8562,0.5308,0.9019,5.447,2.9543,0.5413,
endmic,2,250mm,21.20,0.504,0.2942,0.5826,0.1062,0.287,0.1880,0.6537,
endmic,2,1000mm,25.90,6.235,3.9689,0.6353,0.6608,5.022,3.3081,0.6574,
endmic,3,250mm,28.80,1.444,0.8256,0.5706,0.2453,0.933,0.5803,0.6211,
endmic,3,1000mm,44.00,16.598,10.5059,0.6317,2.7354,11.560,7.7705,0.6708,
endmic,x,base,16.40,,,,,0.311,0.2201,0.7063,
endmic,x,base,14.60,,,,,0.273,0.2128,0.7768,
endmic,x,base,,,,,,0.284,0.2127,0.7464,
endmic,x,base,12.20,,,,,0.221,0.1643,0.7420,
gilade,1,250mm,41.80,1.967,0.9148,0.4642,0.2785,1.365,0.6363,0.4652,
gilade,1,1000mm,45.40,7.637,3.1184,0.4075,0.6720,6.105,2.4464,0.3999,
gilade,2,250mm,41.10,1.079,0.4095,0.3788,0.1256,0.776,0.2839,0.3651,
gilade,2,1000mm,54.30,7.160,2.9283,0.4082,0.5595,5.866,2.3688,0.4030,
gilade,3,250mm,51.40,2.980,1.3753,0.4606,0.4982,1.826,0.8771,0.4794,
gilade,3,1000mm,49.20,17.665,8.4430,0.4770,2.0438,13.150,6.3992,0.4857,
gilade,x,base,24.90,,,,,0.486,0.1897,0.3895,
gilade,x,base,21.80,,,,,0.426,0.2024,0.4747,
gilade,x,base,22.40,,,,,0.437,0.2026,0.4627,
gilade,x,base,23.60,,,,,0.441,0.1842,0.4169,
glohyl,1,base,12.10,,,,,0.225,0.1363,0.6046,
glohyl,1,250mm,50.80,1.775,0.6965,0.3916,0.1899,1.155,0.5066,0.4377,
glohyl,1,1000mm,49.10,6.488,3.1546,0.4852,0.5596,4.622,2.5950,0.5603,
glohyl,2,base,19.40,,,,,0.361,0.2228,0.6159,
glohyl,2,250mm,37.40,1.526,0.6629,0.4335,0.2134,0.919,0.4495,0.4881,
glohyl,2,1000mm,37.70,4.805,2.4960,0.5184,0.6380,3.089,1.8580,0.6003,
glohyl,3,250mm,40.70,0.539,0.1709,0.3164,0.0585,0.337,0.1124,0.3329,
glohyl,3,base,16.40,,,,,0.301,0.1812,0.6008,
glohyl,3,1000mm,35.30,3.906,1.8420,0.4706,0.3850,2.705,1.4570,0.5376,
glohyl,x,base,17.50,,,,,0.352,0.2193,0.6218,
glohyl,x,base,18.30,,,,,0.354,0.2247,0.6335,
glohyl,x,base,18.30,,,,,0.352,0.2263,0.6416,
glohyl,x,base,20.90,,,,,0.400,0.2632,0.6575,
hapspp,1,250mm,29.60,0.555,0.2327,0.4184,0.1285,0.234,0.1042,0.4452,
hapspp,1,1000mm,52.40,7.375,4.1428,0.5606,1.0779,4.757,3.0649,0.6430,
hapspp,1,base,,,,,,,9.1200,#DIV/0!,
hapspp,2,250mm,25.40,,0.3792,#DIV/0!,0.1050,,0.2742,#DIV/0!,
hapspp,2,1000mm,46.60,14.638,9.9865,0.6809,1.9152,10.570,8.0713,0.7621,
hapspp,3,250mm,28.50,0.571,0.2722,0.4758,0.1318,0.293,0.1404,0.4790,
hapspp,3,1000mm,52.80,11.710,6.1431,0.5236,2.0064,6.890,4.1367,0.5992,
harrhy,1,250mm,35.30,1.873,0.9346,0.4980,0.2866,1.259,0.6480,0.5137,
harrhy,1,1000mm,35.30,3.777,2.1250,0.5615,0.4958,2.851,1.6292,0.5703,
harrhy,2,250mm,37.10,1.408,0.8259,0.5854,0.2106,1.018,0.6153,0.6035,
harrhy,2,1000mm,42.60,2.855,1.7470,0.6107,0.4785,1.943,1.2685,0.6516,
harrhy,3,250mm,32.20,1.196,0.6409,0.5348,0.1779,0.843,0.4630,0.5481,
harrhy,3,1000mm,39.00,3.876,2.4150,0.6218,0.6326,2.777,1.7824,0.6406,
heralb,1,250mm,34.10,0.614,0.1686,0.2740,0.0483,0.377,0.1203,0.3185,
heralb,1,base,20.80,,,,,0.402,0.2342,0.5814,
